,thumb-md (59).jpg,thumb-md - 2021-09-08T141901.932.jpg,thumb-md (18).jpg,thumb-md - 2021-09-08T141856.476.jpg,thumb-md (34).jpg,thumb-md (63).jpg,thumb-md (75).jpg,thumb-md (22).jpg,thumb-md (8).jpg,thumb-md - 2021-09-08T141902.210.jpg,thumb-md (55).jpg,thumb-md - 2021-09-08T141858.146.jpg,thumb-md (14).jpg,thumb-md (43).jpg,thumb-md (38).jpg,thumb-md (80).jpg,thumb-md - 2021-09-08T141858.594.jpg,thumb-md (96).jpg,thumb-md (79).jpg,thumb-md (4).jpg,thumb-md - 2021-09-08T141859.422.jpg,thumb-md (5).jpg,thumb-md (97).jpg,thumb-md (78).jpg,thumb-md (81).jpg,thumb-md (39).jpg,thumb-md (100).jpg,thumb-md (42).jpg,thumb-md (15).jpg,thumb-md (54).jpg,thumb-md (23).jpg,thumb-md (9).jpg,thumb-md (74).jpg,thumb-md - 2021-09-08T141744.720.jpg,thumb-md - 2021-09-08T141859.192.jpg,thumb-md (62).jpg,thumb-md (35).jpg,thumb-md - 2021-09-08T141857.477.jpg,thumb-md (19).jpg,thumb-md - 2021-09-08T141903.210.jpg,thumb-md (58).jpg,thumb-md (53).jpg,thumb-md (12).jpg,thumb-md - 2021-09-08T141901.004.jpg,thumb-md (45).jpg,thumb-md (86).jpg,thumb-md (69).jpg,thumb-md (90).jpg,thumb-md (28).jpg,thumb-md (2).jpg,thumb-md - 2021-09-08T141855.851.jpg,thumb-md - 2021-09-08T141900.228.jpg,thumb-md - 2021-09-08T141902.311.jpg,thumb-md (49).jpg,thumb-md - 2021-09-08T141858.939.jpg,thumb-md (32).jpg,thumb-md.jpg,thumb-md (65).jpg,thumb-md - 2021-09-08T141857.837.jpg,thumb-md (73).jpg,thumb-md (24).jpg,thumb-md - 2021-09-08T141856.956.jpg,thumb-md (25).jpg,thumb-md (72).jpg,thumb-md (64).jpg,thumb-md (33).jpg,thumb-md (48).jpg,thumb-md (29).jpg,thumb-md (3).jpg,thumb-md - 2021-09-08T141856.028.jpg,thumb-md (91).jpg,thumb-md (87).jpg,thumb-md (68).jpg,thumb-md (44).jpg,thumb-md (13).jpg,thumb-md - 2021-09-08T141901.606.jpg,thumb-md (52).jpg,thumb-md - 2021-09-08T141856.756.jpg,thumb-md (92).jpg,thumb-md (84).jpg,thumb-md (47).jpg,thumb-md (10).jpg,thumb-md (51).jpg,thumb-md (26).jpg,thumb-md (71).jpg,thumb-md (67).jpg,thumb-md (88).jpg,thumb-md (30).jpg,thumb-md - 2021-09-08T141859.712.jpg,thumb-md - 2021-09-08T141744.771.jpg,thumb-md - 2021-09-08T141858.459.jpg,thumb-md - 2021-09-08T141903.287.jpg,thumb-md - 2021-09-08T141857.609.jpg,thumb-md (31).jpg,thumb-md (66).jpg,thumb-md (89).jpg,thumb-md (70).jpg,thumb-md (27).jpg,thumb-md - 2021-09-08T141903.053.jpg,thumb-md - 2021-09-08T141855.651.jpg,thumb-md - 2021-09-08T141902.530.jpg,thumb-md (50).jpg,thumb-md (11).jpg,thumb-md - 2021-09-08T141859.932.jpg,thumb-md (46).jpg,thumb-md (85).jpg,thumb-md - 2021-09-08T141902.096.jpg,thumb-md (93).jpg,thumb-md (1).jpg,thumb-md (20).jpg,thumb-md (77).jpg,thumb-md (98).jpg,thumb-md (61).jpg,thumb-md (36).jpg,thumb-md - 2021-09-08T141855.542.jpg,thumb-md - 2021-09-08T141856.293.jpg,thumb-md (6).jpg,thumb-md (94).jpg,thumb-md (82).jpg,thumb-md - 2021-09-08T141901.247.jpg,thumb-md - 2021-09-08T141900.727.jpg,thumb-md (41).jpg,thumb-md - 2021-09-08T141744.666.jpg,thumb-md - 2021-09-08T141903.419.jpg,thumb-md (16).jpg,thumb-md - 2021-09-08T141857.256.jpg,thumb-md (57).jpg,thumb-md (56).jpg,thumb-md (17).jpg,thumb-md (40).jpg,thumb-md (83).jpg,thumb-md - 2021-09-08T141903.346.jpg,thumb-md - 2021-09-08T141900.440.jpg,thumb-md (95).jpg,thumb-md (7).jpg,thumb-md (37).jpg,thumb-md - 2021-09-08T141855.590.jpg,thumb-md (60).jpg,thumb-md (76).jpg,thumb-md (99).jpg,thumb-md (21).jpg
thumb-md (59).jpg,0.99999994,0.55504155,0.48025465,0.55821973,0.5901477,0.75963736,0.7168448,0.49725512,0.45577636,0.4832799,0.9854169,0.7001353,0.55894095,0.75692093,0.6864792,0.8939639,0.6796125,0.8069245,0.9460254,0.5321536,0.56046695,0.6184196,0.7348992,0.77737284,0.8907569,0.41003138,0.9698289,0.7338528,0.5386926,0.9277538,0.5190124,0.47065917,0.89716804,0.86497694,0.6269743,0.866932,0.6524134,0.5476867,0.6021436,0.6046792,0.8249575,0.92063713,0.50693786,0.5346987,0.75215733,0.8565424,0.86401,0.6603705,0.56214786,0.59736985,0.43935996,0.49290922,0.67851305,0.48519054,0.6850023,0.5138685,0.6013123,0.74820876,0.5180237,0.7739214,0.54521495,0.47256613,0.44715953,0.6867956,0.8995865,0.5143318,0.7436166,0.6031755,0.51762706,0.5138803,0.7432768,0.8755454,0.8539005,0.92320985,0.6068415,0.5540816,0.7091243,0.4999395,0.85949975,0.8665452,0.6748683,0.4815384,0.82268345,0.4679947,0.8191113,0.878246,0.8642367,0.54609334,0.45724747,0.7165804,0.69068336,0.66830015,0.6176069,0.46900296,0.85619295,0.6173323,0.86876905,0.5710253,0.43337438,0.57230616,0.4663334,0.7277312,0.5530624,0.7488569,0.8097188,0.8282987,0.53672767,0.6086177,0.600385,0.45685548,0.81736636,0.7956393,0.9159259,0.66320693,0.5364743,0.73907614,0.53933895,0.5575086,0.9647488,0.41701603,0.4022121,0.8623421,0.6702453,0.6649524,0.46278724,0.58229303,0.8826624,0.8582835,0.60142726,0.7854754,0.95388734,0.6939144,0.58837813,0.8103695,0.5667232,0.6197407,0.7136624,0.5116413,0.75947523,0.634164,0.56244123
thumb-md - 2021-09-08T141901.932.jpg,0.55504155,0.99999964,0.39002907,0.92012376,0.47263786,0.5627875,0.85853523,0.3935279,0.41355217,0.82202494,0.5827946,0.6698634,0.4512266,0.88743365,0.46013486,0.7654712,0.89878684,0.8155684,0.61056036,0.7706167,0.92285985,0.4363088,0.622887,0.528745,0.7673047,0.5372821,0.5576918,0.85858434,0.7568313,0.46952242,0.4310649,0.41454643,0.4738514,0.51330584,0.8359228,0.50538003,0.8585341,0.64709187,0.61590254,0.68271196,0.61800575,0.4950351,0.47209305,0.7477027,0.5110778,0.7904589,0.47896388,0.58069193,0.6254576,0.74836177,0.6279457,0.65523005,0.91994864,0.74686164,0.838099,0.43696016,0.57865703,0.6992635,0.6474918,0.60305774,0.37862635,0.46783715,0.39346546,0.89618415,0.5720364,0.4255201,0.8647602,0.5211444,0.407252,0.9243588,0.8783545,0.46577066,0.7890575,0.7672428,0.6170266,0.6800846,0.9121547,0.90654296,0.5488306,0.642018,0.4456074,0.36310387,0.41535047,0.384774,0.80554223,0.4967678,0.7955552,0.763368,0.67978466,0.5156297,0.6199233,0.58341324,0.67023844,0.4008427,0.83388406,0.92479426,0.48696017,0.6112858,0.7845613,0.66991943,0.548934,0.6230174,0.49814194,0.61277056,0.79882526,0.8111973,0.65835834,0.5723704,0.58779037,0.41437495,0.81688434,0.5777545,0.50583446,0.57435566,0.9180586,0.7673445,0.3473165,0.6013279,0.55227476,0.6788436,0.6782917,0.6527789,0.56822795,0.7128018,0.42004883,0.6347779,0.5798402,0.5040143,0.46007764,0.50352675,0.6929725,0.56717443,0.6135932,0.5387919,0.3315785,0.9070865,0.8556355,0.35737368,0.88051015,0.87295187,0.7653411
thumb-md (18).jpg,0.48025465,0.39002907,1.0000002,0.45349967,0.6191156,0.6650987,0.4850204,0.9924616,0.99322385,0.54425603,0.4882093,0.44058365,0.9712713,0.4420671,0.6741343,0.4120104,0.4175833,0.48549,0.39479402,0.64816463,0.46971083,0.8657659,0.39972657,0.649962,0.4279357,0.47867766,0.44151503,0.40733498,0.63007164,0.62192005,0.9061457,0.99510235,0.6133968,0.67861104,0.4385598,0.6442938,0.49758253,0.61086416,0.7398035,0.36112267,0.44464228,0.6141707,0.93018067,0.48392242,0.68268365,0.43818304,0.6289104,0.68242145,0.7272362,0.63862133,0.63861537,0.6111499,0.47724512,0.34824407,0.4744513,0.99128723,0.78207934,0.46145108,0.5668482,0.59214175,0.83135337,0.53770405,0.991432,0.43760383,0.35810402,0.988137,0.44906205,0.76643467,0.93320954,0.43732166,0.4885136,0.585121,0.4041187,0.4399267,0.75589615,0.5558301,0.3966879,0.3929596,0.6501053,0.6307793,0.6691912,0.9564762,0.5356414,0.9907446,0.42496628,0.67390275,0.43067372,0.6180303,0.6195543,0.66423047,0.6448916,0.35620594,0.44740075,0.9914481,0.39501563,0.39795446,0.6142945,0.7744749,0.602525,0.6213971,0.8080828,0.67433697,0.89749044,0.55023867,0.3114884,0.35449135,0.6680169,0.63055575,0.75626564,0.99207926,0.36715665,0.671595,0.6426564,0.7601817,0.3941512,0.5280452,0.9367457,0.594717,0.59724236,0.62518686,0.53650844,0.53670615,0.7091936,0.39425826,0.98018575,0.5915286,0.56285334,0.51545036,0.8318315,0.68501735,0.45887753,0.3466159,0.6132568,0.5741583,0.9174849,0.43567407,0.37632936,0.63751656,0.45541498,0.42017844,0.6093611
thumb-md - 2021-09-08T141856.476.jpg,0.55821973,0.92012376,0.45349967,1.0000002,0.42554417,0.5671932,0.76831406,0.4491375,0.48457807,0.8526141,0.59403896,0.79486096,0.4983671,0.76892334,0.4434324,0.6896628,0.9153953,0.6859154,0.602284,0.65345246,0.95323694,0.4955849,0.52025855,0.5365718,0.6900681,0.45726016,0.58357775,0.7296308,0.63902617,0.522397,0.45734218,0.47866872,0.5012228,0.5486584,0.889377,0.55611116,0.73740685,0.766155,0.54085153,0.69554925,0.62295496,0.5362315,0.49504897,0.81643623,0.5193165,0.6962646,0.49259445,0.5689856,0.5531856,0.6627665,0.7308562,0.78042465,0.9305746,0.5885782,0.86810607,0.4934281,0.5605306,0.674865,0.7762736,0.6357409,0.3659285,0.49831638,0.45733392,0.7842673,0.58931154,0.47317642,0.7351835,0.52519786,0.44402206,0.98503786,0.7777666,0.50723654,0.7213219,0.6959851,0.56582624,0.7464627,0.77872795,0.9756828,0.5786353,0.6508412,0.42630267,0.42864951,0.47897613,0.45146194,0.72097725,0.52876896,0.71351427,0.6506922,0.7906451,0.5382549,0.72613406,0.64037335,0.78870904,0.46768165,0.7588272,0.77855283,0.54683805,0.541465,0.8642137,0.8053076,0.61736214,0.6049545,0.5139915,0.7759113,0.7085927,0.71555525,0.7410005,0.5993165,0.54248583,0.47270852,0.70977366,0.56938905,0.5466685,0.5701118,0.9711411,0.8676495,0.42651007,0.62097764,0.57572633,0.75679576,0.7421955,0.63191676,0.56423414,0.7065704,0.48879734,0.79316294,0.5579692,0.5727626,0.4756606,0.52953625,0.6419867,0.6395893,0.71978915,0.55793095,0.40749508,0.74840975,0.887149,0.35695016,0.76136726,0.7155592,0.6444452
thumb-md (34).jpg,0.5901477,0.47263786,0.6191156,0.42554417,0.9999999,0.74210924,0.728008,0.605634,0.58212477,0.5393593,0.639269,0.5298475,0.58105385,0.58127606,0.8337781,0.5480107,0.5046982,0.59918106,0.59124064,0.48849493,0.43753037,0.5412187,0.73491794,0.723676,0.5812851,0.7121491,0.5847063,0.5784855,0.4477381,0.73713964,0.51103914,0.6037741,0.7599365,0.77669823,0.6250863,0.7397448,0.696895,0.72693783,0.5231398,0.56435984,0.6242632,0.73111486,0.5412267,0.48122,0.7997665,0.6223565,0.7960706,0.86198276,0.44829208,0.47765753,0.55469906,0.48038375,0.45118895,0.53377676,0.68131137,0.6303051,0.46798563,0.5819907,0.45437914,0.77776337,0.6046124,0.6279526,0.5671292,0.67378116,0.5435278,0.6919595,0.56144816,0.4242415,0.5272664,0.43174833,0.58799756,0.7806566,0.5104715,0.58355683,0.4807566,0.80188906,0.5612307,0.42129314,0.8233597,0.7004328,0.85126925,0.5040469,0.6996095,0.563812,0.6059537,0.73565304,0.59066576,0.43687087,0.5164007,0.8236114,0.788542,0.5222022,0.52759033,0.56745064,0.5948199,0.5826052,0.7707343,0.4847848,0.534632,0.49652305,0.814679,0.81461924,0.50980043,0.5221401,0.50820243,0.5060259,0.66033196,0.6944763,0.4648728,0.6113356,0.6082274,0.7522456,0.75596315,0.8002424,0.40500128,0.5409979,0.58688843,0.5289507,0.6957683,0.6557593,0.5180036,0.6757742,0.78141063,0.57762635,0.5409012,0.66329855,0.78209573,0.6926592,0.5086137,0.75109947,0.6217613,0.5109136,0.69730604,0.7905824,0.60596925,0.62286925,0.43445864,0.8748695,0.5830473,0.54960346,0.47372177
thumb-md (63).jpg,0.75963736,0.5627875,0.6650987,0.5671932,0.74210924,1.0000001,0.62413526,0.6504968,0.6257497,0.6466493,0.756194,0.5993604,0.71282357,0.7444325,0.8355565,0.62547415,0.5127593,0.74819756,0.67021316,0.45392612,0.66461337,0.5036126,0.696252,0.9884101,0.6912476,0.5464967,0.694257,0.67626846,0.42893612,0.8508735,0.5058096,0.65378726,0.9025895,0.9204995,0.5582936,0.88815206,0.77648693,0.6173227,0.45356148,0.50600946,0.72686404,0.88769746,0.55649143,0.7117024,0.9645358,0.660578,0.9069602,0.9441607,0.43777153,0.43301338,0.7651404,0.74783856,0.5404185,0.39283705,0.6128935,0.7155557,0.43915945,0.7540753,0.75450176,0.8521233,0.4825112,0.72179604,0.6258263,0.61793375,0.60920334,0.6892701,0.69866467,0.41995856,0.5323796,0.56468695,0.80251,0.7861075,0.57833624,0.6983545,0.4483461,0.66676086,0.64012736,0.48887768,0.9032205,0.9553469,0.84468544,0.53359455,0.7352028,0.6158249,0.6967308,0.94532603,0.649909,0.4153008,0.73389447,0.94514126,0.7634822,0.5180226,0.52020687,0.64155877,0.67219484,0.6220949,0.81693363,0.50006056,0.6828966,0.7673512,0.746757,0.9689604,0.55349743,0.67415327,0.5150653,0.55266166,0.75986785,0.93906194,0.43259746,0.63770443,0.6081994,0.9834436,0.8925891,0.9640727,0.4909215,0.69942576,0.5378534,0.84047496,0.85356224,0.7406845,0.7477961,0.875427,0.95752573,0.4982747,0.5884463,0.59371835,0.90906096,0.7591874,0.4636557,0.9687642,0.7502293,0.49067906,0.75163,0.8301115,0.5298707,0.66534495,0.48040134,0.7313169,0.7510317,0.6552526,0.4257215
thumb-md (75).jpg,0.7168448,0.85853523,0.4850204,0.76831406,0.728008,0.62413526,1.0000001,0.49077657,0.4847338,0.6802416,0.75943124,0.6658864,0.51550996,0.8819342,0.6400487,0.88706887,0.88493586,0.85626715,0.7629947,0.772051,0.7369947,0.5744262,0.7198467,0.62107915,0.8880074,0.5856628,0.7294653,0.8618356,0.7563909,0.69175726,0.524459,0.49035352,0.68275523,0.695223,0.84643626,0.65882576,0.82400846,0.71543294,0.7119719,0.68767625,0.67979425,0.6980007,0.5379085,0.5756129,0.6279471,0.91505975,0.69252783,0.6526571,0.6557896,0.7875537,0.50477046,0.51619154,0.83615494,0.7740654,0.8974128,0.50868326,0.6696928,0.69211334,0.50897974,0.70823234,0.5435699,0.43825004,0.46317336,0.98116386,0.7179263,0.54876786,0.8748884,0.5917852,0.5016285,0.7726626,0.82283956,0.6933614,0.8981058,0.8797173,0.6939793,0.76501,0.9082473,0.77722377,0.7237437,0.7121677,0.62392604,0.4611656,0.59270626,0.46656805,0.9035623,0.6557494,0.92739093,0.7685776,0.5324767,0.62713003,0.73462254,0.6218661,0.6813222,0.4622138,0.9283205,0.8799013,0.70340896,0.6400584,0.6348013,0.54481053,0.6443959,0.6906897,0.55320215,0.63424504,0.8948059,0.9020191,0.62216455,0.5538407,0.67098755,0.49142098,0.9347809,0.6549276,0.70214564,0.6450445,0.79362,0.69806296,0.50777143,0.48724014,0.73701346,0.59138584,0.50721025,0.69656,0.6217626,0.7608523,0.48580232,0.7022568,0.7230029,0.6772034,0.5810316,0.6137505,0.836864,0.6232728,0.6398249,0.70441717,0.5154894,0.8696941,0.85007,0.5377216,0.88645226,0.80432755,0.7924731
thumb-md (22).jpg,0.49725512,0.3935279,0.9924616,0.4491375,0.605634,0.6504968,0.49077657,1.0000004,0.9915023,0.5361409,0.4959435,0.41798165,0.98390305,0.4569222,0.66995704,0.4328165,0.4208519,0.51421493,0.40476638,0.6893804,0.45911807,0.89034134,0.41674602,0.6401887,0.44592747,0.4718524,0.45091352,0.426025,0.67375,0.617496,0.94287807,0.99366224,0.60587925,0.6684228,0.4231243,0.6226891,0.50661486,0.57975155,0.78655124,0.3524827,0.4385623,0.611695,0.95961815,0.4589051,0.66643643,0.46001574,0.62823665,0.6676266,0.77511203,0.6742561,0.5847183,0.5674863,0.49273816,0.36868224,0.46597272,0.99088097,0.8231928,0.44962668,0.5205412,0.5696143,0.8762911,0.4822335,0.9926602,0.44154382,0.36266765,0.9871345,0.47125047,0.8055871,0.9621437,0.4295324,0.5035449,0.56989276,0.4204899,0.46093166,0.79985857,0.51605517,0.41066474,0.38677782,0.6325779,0.62228894,0.6585315,0.97692937,0.50643426,0.9937753,0.44071516,0.6627837,0.44508362,0.65784514,0.5789917,0.6399705,0.61511874,0.34045964,0.42899388,0.99105936,0.40643337,0.4084161,0.5953281,0.82065785,0.57903886,0.58269304,0.7686687,0.66617304,0.93552494,0.52117074,0.32850224,0.37360138,0.6198106,0.6006279,0.8005032,0.9922257,0.383851,0.673443,0.6348707,0.74495417,0.39423066,0.51420563,0.943545,0.57849276,0.6100025,0.5729664,0.48732722,0.5388335,0.6988466,0.4051891,0.9879844,0.56905293,0.56211317,0.4912334,0.8710013,0.6642541,0.47600445,0.3381334,0.55818355,0.55594826,0.932615,0.4523999,0.38325784,0.59495455,0.46975023,0.44610828,0.6512166
thumb-md (8).jpg,0.45577636,0.41355217,0.99322385,0.48457807,0.58212477,0.6257497,0.4847338,0.9915023,1.0000001,0.576665,0.4651814,0.45024848,0.97041816,0.43988687,0.63243455,0.4099719,0.43744612,0.47491375,0.38058352,0.67178833,0.49444148,0.8807072,0.38213503,0.60562235,0.4138122,0.48155236,0.42339805,0.41559482,0.65690273,0.5849142,0.9270146,0.9976925,0.5655607,0.6330298,0.44885898,0.6097919,0.49369326,0.6162299,0.75848365,0.37393466,0.44291753,0.57293516,0.9501774,0.49817312,0.64614266,0.43082094,0.5828139,0.65101504,0.7556513,0.6609462,0.63422096,0.6171732,0.5066904,0.3675783,0.47456372,0.9867453,0.8067602,0.46570733,0.5675468,0.57744575,0.8427047,0.51506555,0.99722886,0.4357559,0.35061687,0.97931504,0.45354387,0.7930476,0.9480141,0.46983716,0.48537117,0.5543839,0.4061717,0.43264213,0.77886856,0.5439288,0.40224433,0.42663342,0.61058736,0.6052406,0.62165993,0.97012615,0.502973,0.9958383,0.4124409,0.6297054,0.42180628,0.64501894,0.62983894,0.6247969,0.6261965,0.36200905,0.4654975,0.9950265,0.3894307,0.4095314,0.5803635,0.7988642,0.6282189,0.6257501,0.79227227,0.6485995,0.9195499,0.5511192,0.31766146,0.3599927,0.6660724,0.6005143,0.7800471,0.9964991,0.36190134,0.6366777,0.60205334,0.723016,0.42934883,0.53622913,0.94042724,0.59225553,0.5677983,0.621085,0.5361539,0.5213836,0.681576,0.41746673,0.9935924,0.602738,0.52432823,0.49151266,0.8517841,0.64544505,0.43676466,0.35568416,0.59750366,0.5384418,0.92195743,0.44085377,0.3997572,0.5933446,0.44946033,0.43234202,0.6330442
thumb-md - 2021-09-08T141902.210.jpg,0.4832799,0.82202494,0.54425603,0.8526141,0.5393593,0.6466493,0.6802416,0.5361409,0.576665,0.9999999,0.5285671,0.78594726,0.59102964,0.70437276,0.60473436,0.55630946,0.75294447,0.6277111,0.5647395,0.6125878,0.88492197,0.54727435,0.65370405,0.58025897,0.5667986,0.746119,0.50369805,0.68094623,0.6077109,0.49655616,0.5121452,0.5728633,0.48918527,0.5467563,0.81591016,0.55719006,0.7962868,0.81277895,0.52675015,0.8109738,0.73014164,0.49675977,0.5726639,0.8979913,0.59584737,0.61434436,0.521762,0.72820485,0.57831955,0.6303244,0.80999666,0.82903826,0.79776865,0.6906249,0.7625544,0.596065,0.5495619,0.7973022,0.774774,0.7152567,0.45625418,0.7264386,0.5617754,0.6788189,0.56931853,0.5501863,0.6742204,0.5667896,0.512589,0.8700243,0.7782333,0.55694395,0.56622875,0.5912308,0.5575242,0.7579981,0.67469984,0.846392,0.6098556,0.68036515,0.58642054,0.48971733,0.49038607,0.5477661,0.64542437,0.52717227,0.5751021,0.6165245,0.8735573,0.59447426,0.74074495,0.73034155,0.80704236,0.5732425,0.6561419,0.7542769,0.54053456,0.5876492,0.9530837,0.8110672,0.6944317,0.7140573,0.5714728,0.68737894,0.5832621,0.5697031,0.8618565,0.69114625,0.54853135,0.57724726,0.6137737,0.6300326,0.53619695,0.66859615,0.8441242,0.8292359,0.5085552,0.7489002,0.5338431,0.8485111,0.8296381,0.66108465,0.6695522,0.8034903,0.5724463,0.77379,0.6081491,0.5545172,0.52829283,0.5784491,0.55308616,0.70821404,0.7613116,0.6532179,0.4855963,0.72960556,0.71983427,0.5767905,0.6811683,0.7147146,0.59559923
